text,level
My mother is having her car repaired.,B1
You can contact me by e-mail.,A1
"He had a break for the weekend, and he called me: ""I am in London, so, if you want to see me, it's the time!""",B1
Research shows that 40 percent of the program's viewers are aged over 55.,B2
I'd guess she's about my age.,A1
The World Cup was transmitted around the world by satellite.,B2
We also used to complain about the fact that we had to have a bowl of soup every single day.,A2
I couldn't very well tell her while he was there.,C2
She's a very fussy eater.,C2
Her birthday was getting nearer and I still hadn't bought her a present.,B2
"This document needs finishing, but aside from that I think everything is done.",B2
We have random inspections to keep everyone on their toes.,C2
That restaurant's new - it only opened last month.,B2
"I couldn't see a thing, as I'm very nearsighted. I tried to find my pair of glasses but it was so dark that I couldn't see my hand in front of me.",B2
He's one of the country's top athletes.,B1
"I think, before jumping to conclusions, we should first try to analyse the situation.",C2
"Suddenly the lights went out and I was there, desperately trying to find a way to get out of the house!",B1
"People like designer clothes like Armani, Chanel and so on.",B2
Have the results of the tests come through yet?,C2
"We need computers in many places, and for many uses today.",B1
"The sea is calm with almost no waves, so we could relax in the water.",B1
I took an aspirin quickly.,B1
"Suddenly, I heard a loud clap of thunder.",C2
"The last straw was that as a result of the unrealized itinerary, I couldn't do what I had planned.",C1
This group is not representative of the population at large.,C2
I need to stop at the grocery store and pick up a few things on the way home.,A2
He likes watching television and listening to the radio.,A1
It was the color of his jacket that caught my eye.,C2
I am honored to accept your invitation.,C1
She wept silently as she read the letter.,B2
The main thing is to be happy and to love yourself.,B2
The dependence on oil is a menace because oil reserves will disappear and because at this time we have no other invention to replace it.,C2
Managers have threatened to fire the strikers.,C1
"I hope to see you there but, if not, I'll call you.",A2
"This has sometimes resulted in the comic phenomenon of people traveling to a distant country, in anticipation of encountering strange and original lifestyles, only to come across situations not very different from the one they have left in their own countries.",C2
"He racked his brain trying to remember where he might have left it and finally realized that his problems were just a tip of the iceberg, if her mother knew about the loss.",C2
He's constantly changing his mind.,B2
I look forward to receiving your reply in the near future.,B2
They realized that almost everything mentioned in your advertisement appeared to be untrue.,C1
I've been selected to play on the school football team and we've got a match tomorrow.,B1
Please wear your old shirt.,A1
"You may not approve of what he did, but he's still your brother.",B1
"World peace was being threatened by the Gulf War, major countries were taking sides and preparing to fight each other, millions of lives were in danger but no one seemed to care enough.",B2
"Jose, who is a bus driver, was very unhappy, because his girlfriend had left him.",B1
"I tried to phone her house, but her phone wasn't working, so I decided to go to her house.",A2
Nothing has fundamentally changed.,C2
The[y] were all so surprised about the result of the game Germany against Saudi Arabia that they welcom[ed me in a very friendly way.,B1
You have to create some clothes that will suit them and will not make them ridiculous.,B2
The guitar comes in on the third beat.,B2
"All at once, they abandoned their sacks of stolen property and ran for their lives!",B2
I'm really interested in tourism and I would like to take a course to be a tourist guide.,A2
That's the secret to making a good tomato sauce.,B2
I'd like you to do this exercise in pairs.,A1
"Obviously they will work in the commercial department, under the supervision of Lorenzo Soboli, the person who is in charge of directing that section.",C1
"Everybody agrees with the importance of doing exercise regularly, it helps to take out the toxins from the body.",B2
I've searched the house from top to bottom and still can't find it.,C2
Do you like vegetarian food?,B1
I don't know whether to go for the fish or the steak.,B2
"The body of his boss's wife lay on the ground, a knife stuck in her heart.",B2
You have to make time to do your homework.,C1
The movie charts his rise to power.,C2
